😀 :grinning_face:
🏚️ :derelict_house:
🏚 :derelict_house:
🏠 :house:
🏡 :house_with_garden:
🏢 :office_building:
🏣 :Japanese_post_office:
🏤 :post_office:
🏥 :hospital:
🏦 :bank:
🏨 :hotel:
🏩 :love_hotel:
🏪 :convenience_store:
🏫 :school:
🏬 :department_store:
🏭 :factory:
🏯 :Japanese_castle:
🏰 :castle:
💒 :wedding:
🗼 :Tokyo_tower:
🗽 :Statue_of_Liberty:
⛪ :church:
🕌 :mosque:
🛕 :hindu_temple:
🕍 :synagogue:
⛩️ :shinto_shrine:
⛩ :shinto_shrine:
🕋 :kaaba:
⛲ :fountain:
⛺ :tent:
🌁 :foggy:
🌃 :night_with_stars:
🏙️ :cityscape:
🏙 :cityscape:
🌄 :sunrise_over_mountains:
🌅 :sunrise:
🌆 :cityscape_at_dusk:
🌇 :sunset:
🌉 :bridge_at_night:
♨️ :hot_springs:
♨ :hot_springs:
🎠 :carousel_horse:
🛝 :playground_slide:
🎡 :ferris_wheel:
🎢 :roller_coaster:
💈 :barber_pole:
🎪 :circus_tent:
🚂 :locomotive:
🚃 :railway_car:
🚄 :high-speed_train:
🚅 :bullet_train:
🚆 :train:
🚇 :metro:
🚈 :light_rail:
🚉 :station:
🚊 :tram:
🚝 :monorail:
🚞 :mountain_railway:
🚋 :tram_car:
🚌 :bus:
🚍 :oncoming_bus:
🚎 :trolleybus:
🚐 :minibus:
🚑 :ambulance:
🚒 :fire_engine:
🚓 :police_car:
🚔 :oncoming_police_car:
🚕 :taxi:
🚖 :oncoming_taxi:
🚗 :automobile:
🚘 :oncoming_automobile:
🚙 :sport_utility_vehicle:
🛻 :pickup_truck:
🚚 :delivery_truck:
🚛 :articulated_lorry:
🚜 :tractor:
🏎️ :racing_car:
🏎 :racing_car:
🏍️ :motorcycle:
🏍 :motorcycle:
🛵 :motor_scooter:
🦽 :manual_wheelchair:
🦼 :motorized_wheelchair:
🛺 :auto_rickshaw:
🚲 :bicycle:
🛴 :kick_scooter:
🛹 :skateboard:
🛼 :roller_skate:
🚏 :bus_stop:
🛣️ :motorway:
🛣 :motorway:
🛤️ :railway_track:
🛤 :railway_track:
🛢️ :oil_drum:
🛢 :oil_drum:
⛽ :fuel_pump:
🛞 :wheel:
🚨 :police_car_light:
🚥 :horizontal_traffic_light:
🚦 :vertical_traffic_light:
🛑 :stop_sign:
🚧 :construction:
⚓ :anchor:
🛟 :ring_buoy:
⛵ :sailboat:
🛶 :canoe:
🚤 :speedboat:
🛳️ :passenger_ship:
🛳 :passenger_ship:
⛴️ :ferry:
⛴ :ferry:
🛥️ :motor_boat:
🛥 :motor_boat:
🚢 :ship:
✈️ :airplane:
✈ :airplane:
🛩️ :small_airplane:
🛩 :small_airplane:
🛫 :airplane_departure:
🛬 :airplane_arrival:
🪂 :parachute:
💺 :seat:
🚁 :helicopter:
🚟 :suspension_railway:
🚠 :mountain_cableway:
🚡 :aerial_tramway:
🛰️ :satellite:
🛰 :satellite:
🚀 :rocket:
🛸 :flying_saucer:
🛎️ :bellhop_bell:
🛎 :bellhop_bell:
🧳 :luggage:
⌛ :hourglass_done:
⏳ :hourglass_not_done:
⌚ :watch:
⏰ :alarm_clock:
⏱️ :stopwatch:
⏱ :stopwatch:
⏲️ :timer_clock:
⏲ :timer_clock:
🕰️ :mantelpiece_clock:
🕰 :mantelpiece_clock:
🕛 :twelve_o’clock:
🕧 :twelve-thirty:
🕐 :one_o’clock:
🕜 :one-thirty:
🕑 :two_o’clock:
🕝 :two-thirty:
🕒 :three_o’clock:
🕞 :three-thirty:
🕓 :four_o’clock:
🕟 :four-thirty:
🕔 :five_o’clock:
🕠 :five-thirty:
🕕 :six_o’clock:
🕡 :six-thirty:
🕖 :seven_o’clock:
🕢 :seven-thirty:
🕗 :eight_o’clock:
🕣 :eight-thirty:
🕘 :nine_o’clock:
🕤 :nine-thirty:
🕙 :ten_o’clock:
🕥 :ten-thirty:
🕚 :eleven_o’clock:
🕦 :eleven-thirty:
🌑 :new_moon:
🌒 :waxing_crescent_moon:
🌓 :first_quarter_moon:
🌔 :waxing_gibbous_moon:
🌕 :full_moon:
🌖 :waning_gibbous_moon:
🌗 :last_quarter_moon:
🌘 :waning_crescent_moon:
🌙 :crescent_moon:
🌚 :new_moon_face:
🌛 :first_quarter_moon_face:
🌜 :last_quarter_moon_face:
🌡️ :thermometer:
🌡 :thermometer:
☀️ :sun:
☀ :sun:
🌝 :full_moon_face:
🌞 :sun_with_face:
🪐 :ringed_planet:
⭐ :star:
🌟 :glowing_star:
🌠 :shooting_star:
🌌 :milky_way:
☁️ :cloud:
☁ :cloud:
⛅ :sun_behind_cloud:
⛈️ :cloud_with_lightning_and_rain:
⛈ :cloud_with_lightning_and_rain:
🌤️ :sun_behind_small_cloud:
🌤 :sun_behind_small_cloud:
🌥️ :sun_behind_large_cloud:
🌥 :sun_behind_large_cloud:
🌦️ :sun_behind_rain_cloud:
🌦 :sun_behind_rain_cloud:
🌧️ :cloud_with_rain:
🌧 :cloud_with_rain:
🌨️ :cloud_with_snow:
🌨 :cloud_with_snow:
🌩️ :cloud_with_lightning:
🌩 :cloud_with_lightning:
🌪️ :tornado:
🌪 :tornado:
🌫️ :fog:
🌫 :fog:
🌬️ :wind_face:
🌬 :wind_face:
🌀 :cyclone:
🌈 :rainbow:
🌂 :closed_umbrella:
☂️ :umbrella:
☂ :umbrella:
☔ :umbrella_with_rain_drops:
⛱️ :umbrella_on_ground:
⛱ :umbrella_on_ground:
⚡ :high_voltage:
❄️ :snowflake:
❄ :snowflake:
☃️ :snowman:
☃ :snowman:
⛄ :snowman_without_snow:
☄️ :comet:
☄ :comet:
🔥 :fire:
💧 :droplet:
🌊 :water_wave:
🎃 :jack-o-lantern:
🎄 :Christmas_tree:
🎆 :fireworks:
🎇 :sparkler:
🧨 :firecracker:
✨ :sparkles:
🎈 :balloon:
🎉 :party_popper:
🎊 :confetti_ball:
🎋 :tanabata_tree:
🎍 :pine_decoration:
🎎 :Japanese_dolls:
🎏 :carp_streamer:
🎐 :wind_chime:
🎑 :moon_viewing_ceremony:
🧧 :red_envelope:
🎀 :ribbon:
🎁 :wrapped_gift:
🎗️ :reminder_ribbon:
🎗 :reminder_ribbon:
🎟️ :admission_tickets:
🎟 :admission_tickets:
🎫 :ticket:
🎖️ :military_medal:
🎖 :military_medal:
🏆 :trophy:
🏅 :sports_medal:
🥇 :st_place_medal:
🥈 :nd_place_medal:
🥉 :rd_place_medal:
⚽ :soccer_ball:
⚾ :baseball:
🥎 :softball:
🏀 :basketball:
🏐 :volleyball:
🏈 :american_football:
🏉 :rugby_football:
🎾 :tennis:
🥏 :flying_disc:
🎳 :bowling:
🏏 :cricket_game:
🏑 :field_hockey:
🏒 :ice_hockey:
🥍 :lacrosse:
🏓 :ping_pong:
🏸 :badminton:
🥊 :boxing_glove:
🥋 :martial_arts_uniform:
🥅 :goal_net:
⛳ :flag_in_hole:
⛸️ :ice_skate:
⛸ :ice_skate:
🎣 :fishing_pole:
🤿 :diving_mask:
🎽 :running_shirt:
🎿 :skis:
🛷 :sled:
🥌 :curling_stone:
🎯 :bullseye:
🪀 :yo-yo:
🪁 :kite:
🔫 :water_pistol:
🎱 :pool_8_ball:
🔮 :crystal_ball:
🪄 :magic_wand:
🎮 :video_game:
🕹️ :joystick:
🕹 :joystick:
🎰 :slot_machine:
🎲 :game_die:
🧩 :puzzle_piece:
🧸 :teddy_bear:
🪅 :piñata:
🪩 :mirror_ball:
🪆 :nesting_dolls:
♠️ :spade_suit:
♠ :spade_suit:
♥️ :heart_suit:
♥ :heart_suit:
♦️ :diamond_suit:
♦ :diamond_suit:
♣️ :club_suit:
♣ :club_suit:
♟️ :chess_pawn:
♟ :chess_pawn:
🃏 :joker:
🀄 :mahjong_red_dragon:
🎴 :flower_playing_cards:
🎭 :performing_arts:
🖼️ :framed_picture:
🖼 :framed_picture:
🎨 :artist_palette:
🧵 :thread:
🪡 :sewing_needle:
🧶 :yarn:
🪢 :knot:
👓 :glasses:
🕶️ :sunglasses:
🕶 :sunglasses:
🥽 :goggles:
🥼 :lab_coat:
🦺 :safety_vest:
👔 :necktie:
👕 :t-shirt:
👖 :jeans:
🧣 :scarf:
🧤 :gloves:
🧥 :coat:
🧦 :socks:
👗 :dress:
👘 :kimono:
🥻 :sari:
🩱 :one-piece_swimsuit:
🩲 :briefs:
🩳 :shorts:
👙 :bikini:
👚 :woman’s_clothes:
🪭 :folding_hand_fan:
👛 :purse:
👜 :handbag:
👝 :clutch_bag:
🛍️ :shopping_bags:
🛍 :shopping_bags:
🎒 :backpack:
🩴 :thong_sandal:
👞 :man’s_shoe:
👟 :running_shoe:
🥾 :hiking_boot:
🥿 :flat_shoe:
👠 :high-heeled_shoe:
👡 :woman’s_sandal:
🩰 :ballet_shoes:
👢 :woman’s_boot:
🪮 :hair_pick:
👑 :crown:
👒 :woman’s_hat:
🎩 :top_hat:
🎓 :graduation_cap:
🧢 :billed_cap:
🪖 :military_helmet:
⛑️ :rescue_worker’s_helmet:
⛑ :rescue_worker’s_helmet:
📿 :prayer_beads:
💄 :lipstick:
💍 :ring:
💎 :gem_stone:
🔇 :muted_speaker:
🔈 :speaker_low_volume:
🔉 :speaker_medium_volume:
🔊 :speaker_high_volume:
📢 :loudspeaker:
📣 :megaphone:
📯 :postal_horn:
🔔 :bell:
🔕 :bell_with_slash:
🎼 :musical_score:
🎵 :musical_note:
🎶 :musical_notes:
🎙️ :studio_microphone:
🎙 :studio_microphone:
🎚️ :level_slider:
🎚 :level_slider:
🎛️ :control_knobs:
🎛 :control_knobs:
🎤 :microphone:
🎧 :headphone:
📻 :radio:
🎷 :saxophone:
🪗 :accordion:
🎸 :guitar:
🎹 :musical_keyboard:
🎺 :trumpet:
🎻 :violin:
🪕 :banjo:
🥁 :drum:
🪘 :long_drum:
🪇 :maracas:
🪈 :flute:
📱 :mobile_phone:
📲 :mobile_phone_with_arrow:
☎️ :telephone:
☎ :telephone:
📞 :telephone_receiver:
📟 :pager:
📠 :fax_machine:
🔋 :battery:
🪫 :low_battery:
🔌 :electric_plug:
💻 :laptop:
🖥️ :desktop_computer:
🖥 :desktop_computer:
🖨️ :printer:
🖨 :printer:
⌨️ :keyboard:
⌨ :keyboard:
🖱️ :computer_mouse:
🖱 :computer_mouse:
🖲️ :trackball:
🖲 :trackball:
💽 :computer_disk:
💾 :floppy_disk:
💿 :optical_disk:
📀 :dvd:
🧮 :abacus:
🎥 :movie_camera:
🎞️ :film_frames:
🎞 :film_frames:
📽️ :film_projector:
📽 :film_projector:
🎬 :clapper_board:
📺 :television:
📷 :camera:
📸 :camera_with_flash:
📹 :video_camera:
📼 :videocassette:
🔍 :magnifying_glass_tilted_left:
🔎 :magnifying_glass_tilted_right:
🕯️ :candle:
🕯 :candle:
💡 :light_bulb:
🔦 :flashlight:
🏮 :red_paper_lantern:
🪔 :diya_lamp:
📔 :notebook_with_decorative_cover:
📕 :closed_book:
📖 :open_book:
📗 :green_book:
📘 :blue_book:
📙 :orange_book:
📚 :books:
📓 :notebook:
📒 :ledger:
📃 :page_with_curl:
📜 :scroll:
📄 :page_facing_up:
📰 :newspaper:
🗞️ :rolled-up_newspaper:
🗞 :rolled-up_newspaper:
📑 :bookmark_tabs:
🔖 :bookmark:
🏷️ :label:
🏷 :label:
💰 :money_bag:
🪙 :coin:
💴 :yen_banknote:
💵 :dollar_banknote:
💶 :euro_banknote:
💷 :pound_banknote:
💸 :money_with_wings:
💳 :credit_card:
🧾 :receipt:
💹 :chart_increasing_with_yen:
✉️ :envelope:
✉ :envelope:
📧 :e-mail:
📨 :incoming_envelope:
📩 :envelope_with_arrow:
📤 :outbox_tray:
📥 :inbox_tray:
📦 :package:
📫 :closed_mailbox_with_raised_flag:
📪 :closed_mailbox_with_lowered_flag:
📬 :open_mailbox_with_raised_flag:
📭 :open_mailbox_with_lowered_flag:
📮 :postbox:
🗳️ :ballot_box_with_ballot:
🗳 :ballot_box_with_ballot:
✏️ :pencil:
✏ :pencil:
✒️ :black_nib:
✒ :black_nib:
🖋️ :fountain_pen:
🖋 :fountain_pen:
🖊️ :pen:
🖊 :pen:
🖌️ :paintbrush:
🖌 :paintbrush:
🖍️ :crayon:
🖍 :crayon:
📝 :memo:
💼 :briefcase:
📁 :file_folder:
📂 :open_file_folder:
🗂️ :card_index_dividers:
🗂 :card_index_dividers:
📅 :calendar:
📆 :tear-off_calendar:
🗒️ :spiral_notepad:
🗒 :spiral_notepad:
🗓️ :spiral_calendar:
🗓 :spiral_calendar:
📇 :card_index:
📈 :chart_increasing:
📉 :chart_decreasing:
📊 :bar_chart:
📋 :clipboard:
📌 :pushpin:
📍 :round_pushpin:
📎 :paperclip:
🖇️ :linked_paperclips:
🖇 :linked_paperclips:
📏 :straight_ruler:
📐 :triangular_ruler:
✂️ :scissors:
✂ :scissors:
🗃️ :card_file_box:
🗃 :card_file_box:
🗄️ :file_cabinet:
🗄 :file_cabinet:
🗑️ :wastebasket:
🗑 :wastebasket:
🔒 :locked:
🔓 :unlocked:
🔏 :locked_with_pen:
🔐 :locked_with_key:
🔑 :key:
🗝️ :old_key:
🗝 :old_key:
🔨 :hammer:
🪓 :axe:
⛏️ :pick:
⛏ :pick:
⚒️ :hammer_and_pick:
⚒ :hammer_and_pick:
🛠️ :hammer_and_wrench:
🛠 :hammer_and_wrench:
🗡️ :dagger:
🗡 :dagger:
⚔️ :crossed_swords:
⚔ :crossed_swords:
💣 :bomb:
🪃 :boomerang:
🏹 :bow_and_arrow:
🛡️ :shield:
🛡 :shield:
🪚 :carpentry_saw:
🔧 :wrench:
🪛 :screwdriver:
🔩 :nut_and_bolt:
⚙️ :gear:
⚙ :gear:
🗜️ :clamp:
🗜 :clamp:
⚖️ :balance_scale:
⚖ :balance_scale:
🦯 :white_cane:
🔗 :link:
⛓️ :chains:
⛓ :chains:
🪝 :hook:
🧰 :toolbox:
🧲 :magnet:
🪜 :ladder:
⚗️ :alembic:
⚗ :alembic:
🧪 :test_tube:
🧫 :petri_dish:
🧬 :dna:
🔬 :microscope:
🔭 :telescope:
📡 :satellite_antenna:
💉 :syringe:
🩸 :drop_of_blood:
💊 :pill:
🩹 :adhesive_bandage:
🩼 :crutch:
🩺 :stethoscope:
🩻 :x-ray:
🚪 :door:
🛗 :elevator:
🪞 :mirror:
🪟 :window:
🛏️ :bed:
🛏 :bed:
🛋️ :couch_and_lamp:
🛋 :couch_and_lamp:
🪑 :chair:
🚽 :toilet:
🪠 :plunger:
🚿 :shower:
🛁 :bathtub:
🪤 :mouse_trap:
🪒 :razor:
🧴 :lotion_bottle:
🧷 :safety_pin:
🧹 :broom:
🧺 :basket:
🧻 :roll_of_paper:
🪣 :bucket:
🧼 :soap:
🫧 :bubbles:
🪥 :toothbrush:
🧽 :sponge:
🧯 :fire_extinguisher:
🛒 :shopping_cart:
🚬 :cigarette:
⚰️ :coffin:
⚰ :coffin:
🪦 :headstone:
⚱️ :funeral_urn:
⚱ :funeral_urn:
🧿 :nazar_amulet:
🪬 :hamsa:
🗿 :moai:
🪧 :placard:
🪪 :identification_card:
🏧 :ATM_sign:
🚮 :litter_in_bin_sign:
🚰 :potable_water:
♿ :wheelchair_symbol:
🚹 :men’s_room:
🚺 :women’s_room:
🚻 :restroom:
🚼 :baby_symbol:
🚾 :water_closet:
🛂 :passport_control:
🛃 :customs:
🛄 :baggage_claim:
🛅 :left_luggage:
⚠️ :warning:
⚠ :warning:
🚸 :children_crossing:
⛔ :no_entry:
🚫 :prohibited:
🚳 :no_bicycles:
🚭 :no_smoking:
🚯 :no_littering:
🚱 :non-potable_water:
🚷 :no_pedestrians:
📵 :no_mobile_phones:
🔞 :no_one_under_eighteen:
☢️ :radioactive:
☢ :radioactive:
☣️ :biohazard:
☣ :biohazard:
⬆️ :up_arrow:
⬆ :up_arrow:
↗️ :up-right_arrow:
↗ :up-right_arrow:
➡️ :right_arrow:
➡ :right_arrow:
↘️ :down-right_arrow:
↘ :down-right_arrow:
⬇️ :down_arrow:
⬇ :down_arrow:
↙️ :down-left_arrow:
↙ :down-left_arrow:
⬅️ :left_arrow:
⬅ :left_arrow:
↖️ :up-left_arrow:
↖ :up-left_arrow:
↕️ :up-down_arrow:
↕ :up-down_arrow:
↔️ :left-right_arrow:
↔ :left-right_arrow:
↩️ :right_arrow_curving_left:
↩ :right_arrow_curving_left:
↪️ :left_arrow_curving_right:
↪ :left_arrow_curving_right:
⤴️ :right_arrow_curving_up:
⤴ :right_arrow_curving_up:
⤵️ :right_arrow_curving_down:
⤵ :right_arrow_curving_down:
🔃 :clockwise_vertical_arrows:
🔄 :counterclockwise_arrows_button:
🔙 :BACK_arrow:
🔚 :END_arrow:
🔛 :ON!_arrow:
🔜 :SOON_arrow:
🔝 :TOP_arrow:
🛐 :place_of_worship:
⚛️ :atom_symbol:
⚛ :atom_symbol:
🕉️ :om:
🕉 :om:
✡️ :star_of_David:
✡ :star_of_David:
☸️ :wheel_of_dharma:
☸ :wheel_of_dharma:
☯️ :yin_yang:
☯ :yin_yang:
✝️ :latin_cross:
✝ :latin_cross:
☦️ :orthodox_cross:
☦ :orthodox_cross:
☪️ :star_and_crescent:
☪ :star_and_crescent:
☮️ :peace_symbol:
☮ :peace_symbol:
🕎 :menorah:
🔯 :dotted_six-pointed_star:
🪯 :khanda:
♈ :Aries:
♉ :Taurus:
♊ :Gemini:
♋ :Cancer:
♌ :Leo:
♍ :Virgo:
♎ :Libra:
♏ :Scorpio:
♐ :Sagittarius:
♑ :Capricorn:
♒ :Aquarius:
♓ :Pisces:
⛎ :Ophiuchus:
🔀 :shuffle_tracks_button:
🔁 :repeat_button:
🔂 :repeat_single_button:
▶️ :play_button:
▶ :play_button:
⏩ :fast-forward_button:
⏭️ :next_track_button:
⏭ :next_track_button:
⏯️ :play_or_pause_button:
⏯ :play_or_pause_button:
◀️ :reverse_button:
◀ :reverse_button:
⏪ :fast_reverse_button:
⏮️ :last_track_button:
⏮ :last_track_button:
🔼 :upwards_button:
⏫ :fast_up_button:
🔽 :downwards_button:
⏬ :fast_down_button:
⏸️ :pause_button:
⏸ :pause_button:
⏹️ :stop_button:
⏹ :stop_button:
⏺️ :record_button:
⏺ :record_button:
⏏️ :eject_button:
⏏ :eject_button:
🎦 :cinema:
🔅 :dim_button:
🔆 :bright_button:
📶 :antenna_bars:
🛜 :wireless:
📳 :vibration_mode:
📴 :mobile_phone_off:
♀️ :female_sign:
♀ :female_sign:
♂️ :male_sign:
♂ :male_sign:
⚧️ :transgender_symbol:
⚧ :transgender_symbol:
✖️ :multiply:
✖ :multiply:
➕ :plus:
➖ :minus:
➗ :divide:
🟰 :heavy_equals_sign:
♾️ :infinity:
♾ :infinity:
‼️ :double_exclamation_mark:
‼ :double_exclamation_mark:
⁉️ :exclamation_question_mark:
⁉ :exclamation_question_mark:
❓ :red_question_mark:
❔ :white_question_mark:
❕ :white_exclamation_mark:
❗ :red_exclamation_mark:
〰️ :wavy_dash:
〰 :wavy_dash:
💱 :currency_exchange:
💲 :heavy_dollar_sign:
⚕️ :medical_symbol:
⚕ :medical_symbol:
♻️ :recycling_symbol:
♻ :recycling_symbol:
⚜️ :fleur-de-lis:
⚜ :fleur-de-lis:
🔱 :trident_emblem:
📛 :name_badge:
🔰 :Japanese_symbol_for_beginner:
⭕ :hollow_red_circle:
✅ :check_mark_button:
☑️ :check_box_with_check:
☑ :check_box_with_check:
✔️ :check_mark:
✔ :check_mark:
❌ :cross_mark:
❎ :cross_mark_button:
➰ :curly_loop:
➿ :double_curly_loop:
〽️ :part_alternation_mark:
〽 :part_alternation_mark:
✳️ :eight-spoked_asterisk:
✳ :eight-spoked_asterisk:
✴️ :eight-pointed_star:
✴ :eight-pointed_star:
❇️ :sparkle:
❇ :sparkle:
©️ :copyright:
© :copyright:
®️ :registered:
® :registered:
™️ :trade_mark:
™ :trade_mark:
#️⃣ :keycap;_#:
#⃣ :keycap;_#:
*️⃣ :keycap;_*:
*⃣ :keycap;_*:
0️⃣ :keycap;_0:
0⃣ :keycap;_0:
1️⃣ :keycap;_1:
1⃣ :keycap;_1:
2️⃣ :keycap;_2:
2⃣ :keycap;_2:
3️⃣ :keycap;_3:
3⃣ :keycap;_3:
4️⃣ :keycap;_4:
4⃣ :keycap;_4:
5️⃣ :keycap;_5:
5⃣ :keycap;_5:
6️⃣ :keycap;_6:
6⃣ :keycap;_6:
7️⃣ :keycap;_7:
7⃣ :keycap;_7:
8️⃣ :keycap;_8:
8⃣ :keycap;_8:
9️⃣ :keycap;_9:
9⃣ :keycap;_9:
🔟 :keycap;_10:
🔠 :input_latin_uppercase:
🔡 :input_latin_lowercase:
🔢 :input_numbers:
🔣 :input_symbols:
🔤 :input_latin_letters:
🅰️ :A_button_(blood_type):
🅰 :A_button_(blood_type):
🆎 :AB_button_(blood_type):
🅱️ :B_button_(blood_type):
🅱 :B_button_(blood_type):
🆑 :CL_button:
🆒 :COOL_button:
🆓 :FREE_button:
ℹ️ :information:
ℹ :information:
🆔 :ID_button:
Ⓜ️ :circled_M:
Ⓜ :circled_M:
🆕 :NEW_button:
🆖 :NG_button:
🅾️ :O_button_(blood_type):
🅾 :O_button_(blood_type):
🆗 :OK_button:
🅿️ :P_button:
🅿 :P_button:
🆘 :SOS_button:
🆙 :UP!_button:
🆚 :VS_button:
🈁 :Japanese_“here”_button:
🈂️ :Japanese_“service_charge”_button:
🈂 :Japanese_“service_charge”_button:
🈷️ :Japanese_“monthly_amount”_button:
🈷 :Japanese_“monthly_amount”_button:
🈶 :Japanese_“not_free_of_charge”_button:
🈯 :Japanese_“reserved”_button:
🉐 :Japanese_“bargain”_button:
🈹 :Japanese_“discount”_button:
🈚 :Japanese_“free_of_charge”_button:
🈲 :Japanese_“prohibited”_button:
🉑 :Japanese_“acceptable”_button:
🈸 :Japanese_“application”_button:
🈴 :Japanese_“passing_grade”_button:
🈳 :Japanese_“vacancy”_button:
㊗️ :Japanese_“congratulations”_button:
㊗ :Japanese_“congratulations”_button:
㊙️ :Japanese_“secret”_button:
㊙ :Japanese_“secret”_button:
🈺 :Japanese_“open_for_business”_button:
🈵 :Japanese_“no_vacancy”_button:
🔴 :red_circle:
🟠 :orange_circle:
🟡 :yellow_circle:
🟢 :green_circle:
🔵 :blue_circle:
🟣 :purple_circle:
🟤 :brown_circle:
⚫ :black_circle:
⚪ :white_circle:
🟥 :red_square:
🟧 :orange_square:
🟨 :yellow_square:
🟩 :green_square:
🟦 :blue_square:
🟪 :purple_square:
🟫 :brown_square:
⬛ :black_large_square:
⬜ :white_large_square:
◼️ :black_medium_square:
◼ :black_medium_square:
◻️ :white_medium_square:
◻ :white_medium_square:
◾ :black_medium-small_square:
◽ :white_medium-small_square:
▪️ :black_small_square:
▪ :black_small_square:
▫️ :white_small_square:
▫ :white_small_square:
🔶 :large_orange_diamond:
🔷 :large_blue_diamond:
🔸 :small_orange_diamond:
🔹 :small_blue_diamond:
🔺 :red_triangle_pointed_up:
🔻 :red_triangle_pointed_down:
💠 :diamond_with_a_dot:
🔘 :radio_button:
🔳 :white_square_button:
🔲 :black_square_button:
🏁 :chequered_flag:
🚩 :triangular_flag:
🎌 :crossed_flags:
🏴 :black_flag:
🏳️ :white_flag:
🏳 :white_flag:
🏳️‍🌈 :rainbow_flag:
🏳‍🌈 :rainbow_flag:
🏳️‍⚧️ :transgender_flag:
🏳‍⚧️ :transgender_flag:
🏳️‍⚧ :transgender_flag:
🏳‍⚧ :transgender_flag:
🏴‍☠️ :pirate_flag:
🏴‍☠ :pirate_flag:
🇦🇨 :flag;_Ascension_Island:
🇦🇩 :flag;_Andorra:
🇦🇪 :flag;_United_Arab_Emirates:
🇦🇫 :flag;_Afghanistan:
🇦🇬 :flag;_Antigua_&_Barbuda:
🇦🇮 :flag;_Anguilla:
🇦🇱 :flag;_Albania:
🇦🇲 :flag;_Armenia:
🇦🇴 :flag;_Angola:
🇦🇶 :flag;_Antarctica:
🇦🇷 :flag;_Argentina:
🇦🇸 :flag;_American_Samoa:
🇦🇹 :flag;_Austria:
🇦🇺 :flag;_Australia:
🇦🇼 :flag;_Aruba:
🇦🇽 :flag;_Åland_Islands:
🇦🇿 :flag;_Azerbaijan:
🇧🇦 :flag;_Bosnia_&_Herzegovina:
🇧🇧 :flag;_Barbados:
🇧🇩 :flag;_Bangladesh:
🇧🇪 :flag;_Belgium:
🇧🇫 :flag;_Burkina_Faso:
🇧🇬 :flag;_Bulgaria:
🇧🇭 :flag;_Bahrain:
🇧🇮 :flag;_Burundi:
🇧🇯 :flag;_Benin:
🇧🇱 :flag;_St._Barthélemy:
🇧🇲 :flag;_Bermuda:
🇧🇳 :flag;_Brunei:
🇧🇴 :flag;_Bolivia:
🇧🇶 :flag;_Caribbean_Netherlands:
🇧🇷 :flag;_Brazil:
🇧🇸 :flag;_Bahamas:
🇧🇹 :flag;_Bhutan:
🇧🇻 :flag;_Bouvet_Island:
🇧🇼 :flag;_Botswana:
🇧🇾 :flag;_Belarus:
🇧🇿 :flag;_Belize:
🇨🇦 :flag;_Canada:
🇨🇨 :flag;_Cocos_(Keeling)_Islands:
🇨🇩 :flag;_Congo_-_Kinshasa:
🇨🇫 :flag;_Central_African_Republic:
🇨🇬 :flag;_Congo_-_Brazzaville:
🇨🇭 :flag;_Switzerland:
🇨🇮 :flag;_Côte_d’Ivoire:
🇨🇰 :flag;_Cook_Islands:
🇨🇱 :flag;_Chile:
🇨🇲 :flag;_Cameroon:
🇨🇳 :flag;_China:
🇨🇴 :flag;_Colombia:
🇨🇵 :flag;_Clipperton_Island:
🇨🇷 :flag;_Costa_Rica:
🇨🇺 :flag;_Cuba:
🇨🇻 :flag;_Cape_Verde:
🇨🇼 :flag;_Curaçao:
🇨🇽 :flag;_Christmas_Island:
🇨🇾 :flag;_Cyprus:
🇨🇿 :flag;_Czechia:
🇩🇪 :flag;_Germany:
🇩🇬 :flag;_Diego_Garcia:
